,sentence1,sentence2,labels.label
1319,KT의 모델들이 스페인 바르셀로나에서 MWC 2018에 참가하는 KT를 홍보하고 있다.,KT가 스페인 바르셀로나에서 열리는 MWC 2018에서 선보이는 차세대 차량용 인포테인먼트 체험존 조감도.,2.2
1331,"디지털정보화수준은 디지털 접근수준과 디지털 역량수준, 디지털 활용수준을 합산한 결과다.",디지털 기기 활용 정도를 나타내는 디지털 활용 수준은 65.3%로 나타났다.,2.0
1333,재물운은 평탄한 편이지만 어딘가에 투자를 하는 것은 좋지 않습니다.,재물운이 나쁘지 않지만 특히 시험운이 좋은 때입니다.,2.0
1337,"최 회장 부부는 1988년 결혼해 1남 2녀를 뒀고, 상당 기간 별거했다.",1943년 결혼한 부부는 슬하에 2남3녀를 뒀다.,1.8
1338,더 자세한 사항 및 문의내용은 복지정책과에서 안내받을 수 있다.,더 자세한 사항은 홈페이지를 통해 확인할 수 있다.,2.6
1340,경남 창녕군이 2017년 민원서비스 종합평가에서 최우수기관으로 선정됐다.,경남 양산시가 행정안전부 주관 옥외광고업무 평가에서 우수기관으로 선정됐다.,2.0
1348,시범공역은 4월부터 12월까지 운영된다.,귀가 서비스는 12월까지 운영한다.,2.2
1349,아랫사람의 말이라도 무시하지 마세요.,다른 사람의 말은 함부로 믿지 마세요.,2.4
1353,"경포권역은 30분 간격으로 하루 17회, 정동진권역은 1시간 간격으로 하루 7회 운영된다.","배차 간격 30분, 1일 14회 운영.",2.4
1371,중대한 결정은 피하도록 하세요.,지나친 과음은 피하도록 하세요.,2.0
1379,다만 오전까지 일부 지역에서 미세먼지 농도가 나쁨 수준으로 예상된다.,다만 일부 중서부지역은 대기정체로 오전에 농도가 다소 높을 것으로 예상된다.,3.2
1381,2018 광양매화축제가 3월 17∼25일 전남 광양시 다압면 매화마을에서 열린다.,제19회 구례산수유꽃축제가 17~25일 산수유마을 일원에서 열린다.,2.7
1385,싱글인 분이라면 짧게 타오르는 사랑을 할 수도 있습니다.,싱글인 분이라면 우연한 만남이 당신에게 행운을 줄 수 있습니다.,2.0
1391,KT는 롯데렌탈 ‘묘미’와의 제휴를 통해 가전제품뿐만 아니라 라이프스타일 제품까지 라인업을 확대했다.,이번 기획전에서는 묘미와의 제휴를 통해 가전제품 뿐만 아니라 생활 제품까지 라인업을 확대했다.,2.7
1395,나서야 할 때와 물러나야 할 때를 잘 구분하세요.,버려야 할 것과 취할 것을 잘 구분해야 합니다.,1.9
1400,허나 지나친 허세나 과장은 피하도록 하세요.,지나친 과음이나 놀이는 피하세요.,1.8
1406,또 성폭력특별법에도 2년 이하의 징역이나 500만 원 이하의 벌금형에 처하도록 돼 있습니다.,이를 위반할 경우 3년 이하의 징역 또는 600만원 이하의 벌금에 처해진다.,2.3
1420,내달부터 연말까지 추진하는 이 사업에는 3억7천만원을 투입한다.,이 사업에는 5억5000만원이 투입된다.,1.8
1444,대중이 생각하는 공정함에 대해 들여다보았다.,대중들이 생각하는 지점에 대해 스스로도 당연하게 여긴다.,2.2
1465,불만이 있더라도 손윗사람의 말을 잘 따르세요.,아랫사람의 말에도 귀를 기울이세요.,2.0
1468,지난해 대구 엑스코에서 열린 기업애로해결박람회에 참가한 기업인들이 부스에서 상담을 받고 있다.,중소기업의 해결사 역할을 하는 제4회 기업애로해결박람회가 오는 27~28일 대구 엑스코에서 열린다.,2.0
1474,식품위생법상 미신고 음식점 영업은 3년 이하의 징역형에 3천만원의 벌금형에 처한다.,이를 위반할 경우 3년 이하의 징역 또는 600만원 이하의 벌금에 처해진다.,2.1
1482,적게 시작해서 크게 얻을 수 있는 날입니다.,커다란 변화가 시작되는 날이라고 할 수 있습니다.,2.4
1483,작게 얻고 크게 잃을 수 있으니 주의하는 것이 좋습니다.,작은 변화도 놓치지 않는 것이 좋습니다.,2.5
1484,B는 A의 제안이 마음에 들면 받아들이고 돈을 나눠 갖는다.,이제 A는 이 돈을 어떻게 나눠 가질지를 B에게 제안한다(최후통첩).,2.5
1486,제주도 산지에는 눈이 내려 1∼3㎝ 쌓일 것으로 보인다.,제주도는 비가 조금 오겠고 산지로는 눈이 내리겠습니다.,3.0
1492,흰 장미는 성폭력 피해 고발 캠페인인 ‘미투’를 상징한다.,흰 장미는 '위드유' 운동을 상징한다.,2.9
1501,꺼림칙한 사람이나 불필요한 자리는 피하도록 하세요.,되도록 많은 사람들이 모이는 자리에 빠지지 않도록 하세요.,2.1
1625,내키지 않는 모임도 피하도록 하세요.,지나친 고집은 피하도록 하세요.,2.0
1665,낙동강물을 사용하면 원수 대금뿐만 아니라 물이용 부담금을 따로 내야 한다.,원수 대금과 물이용 부담금도 없었다.,2.3
1721,평창패럴림픽 개막일인 9일 오전 강원 평창군 일대에 긴급 제설작전이 펼쳐졌다.,2018 평창동계패럴림픽 개막일인 9일 오전 강원도 평창 바이애슬론센터에서 선수들이 훈련하고 있다.,2.2
1804,자기 중심적인 처세는 구설을 부를 수 있습니다.,구설이나 언쟁에 휘말릴 수 있어요.,2.3
